EMPLOYER_NAME,target,value,source,pay,index,odd
APPLE INC.,Apple,1,SANTA CLARA COUNTY,145000,584,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,145000,586,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,145000,588,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,145000,590,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,145000,592,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,147596,594,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,145000,596,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,145000,598,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,145000,600,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,145000,602,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,146597.5,604,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,145000,606,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,148000,608,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,148000,610,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,148000,612,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,150000,614,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,150000,616,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,150000,618,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,150000,620,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,150000,622,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,150096,624,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,150000,626,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,150000,628,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,150000,630,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,150000,632,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,141804.5,634,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,157930,636,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,147616.5,638,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,143321,640,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,152546,642,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,137400,644,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,143831,646,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,137400,648,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,137400,650,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,145432.5,652,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,137400,654,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,145432.5,656,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,137476.5,658,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,148469,660,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,148677,662,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,147169,664,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,155000,666,0
